-2.000000,-7.826139
-1.950000,-6.786743
-1.900000,-5.810115
-1.850000,-4.894662
-1.800000,-4.038785
-1.750000,-3.240888
-1.700000,-2.499376
-1.650000,-1.812651
-1.600000,-1.179117
-1.550000,-0.597178
-1.500000,-0.065238
-1.450000,0.418301
-1.400000,0.855033
-1.350000,1.246557
-1.300000,1.594468
-1.250000,1.900363
-1.200000,2.165838
-1.150000,2.392489
-1.100000,2.581913
-1.050000,2.735707
-1.000000,2.855466
-0.950000,2.942787
-0.900000,2.999267
-0.850000,3.026502
-0.800000,3.026089
-0.750000,2.999623
-0.700000,2.948701
-0.650000,2.874920
-0.600000,2.779876
-0.550000,2.665166
-0.500000,2.532385
-0.450000,2.383131
-0.400000,2.218999
-0.350000,2.041587
-0.300000,1.852490
-0.250000,1.653305
-0.200000,1.445629
-0.150000,1.231057
-0.100000,1.011186
-0.050000,0.787613
0.000000,0.561934
0.050000,0.335746
0.100000,0.110644
0.150000,-0.111775
0.200000,-0.329913
0.250000,-0.542176
0.300000,-0.746966
0.350000,-0.942688
0.400000,-1.127744
0.450000,-1.300538
0.500000,-1.459474
0.550000,-1.602955
0.600000,-1.729386
0.650000,-1.837169
0.700000,-1.924708
0.750000,-1.990407
0.800000,-2.032670
0.850000,-2.049899
0.900000,-2.040499
0.950000,-2.002873
1.000000,-1.935425
1.050000,-1.836558
1.100000,-1.704676
1.150000,-1.538183
1.200000,-1.335481
1.250000,-1.094975
1.300000,-0.815069
1.350000,-0.494165
1.400000,-0.130667
1.450000,0.277020
1.500000,0.730494
1.550000,1.231351
1.600000,1.781187
1.650000,2.381598
1.700000,3.034182
1.750000,3.740534
1.800000,4.502251
1.850000,5.320930
1.900000,6.198166
1.950000,7.135556
2.000000,8.134697
